SKU,Nombre Producto,Marca,Categoría,Línea,Costo Proveedor ($),Margen %,Precio Venta Tienda ($),Stock,Archivo PDF Fuente
PIN-001-PIN,Pinto - ACUARELAS PINTO COLLEGE,Pinto,Acuarelas & Acuarelables,Pinto College,30.5,0.4,42.7,0,ACUARELAS PINTO COLLEGE Lista de precios 2024-06-25.pdf
PIN-002-PIN,Pinto - Bastidor Academia,Pinto,Bastidores & Liencillos,Bastidores Canvas,36.0,0.4,50.4,0,Bastidor Academia lista de precios 2024-01-01.pdf
PIN-003-PIN,Pinto - BASTIDOR COLLEGE CANVAS,Pinto,Bastidores & Liencillos,Bastidores Canvas,41.5,0.4,58.1,0,BASTIDOR COLLEGE CANVAS lista de precios 2024-06-14.pdf
PIN-004-PIN,Pinto - Bastidor Galeria,Pinto,Bastidores & Liencillos,Bastidores Canvas,47.0,0.4,65.8,0,Bastidor Galeria lista de precios 2024-01-01.pdf
PIN-005-PIN,Pinto - Bastidor Profesional,Pinto,Bastidores & Liencillos,Bastidores Canvas,52.5,0.4,73.5,0,Bastidor Profesional lista de precios 2024-01-01.pdf
PIN-006-PIN,Pinto - Bastidor Vanguardia,Pinto,Bastidores & Liencillos,Bastidores Canvas,58.0,0.4,81.2,0,Bastidor Vanguardia lista de precios 2024-01-01.pdf
PIN-007-PIN,Pinto - Blocks Pinto,Pinto,Blocks & Papelería,Blocks de Dibujo y Pintura,63.5,0.4,88.9,0,Blocks Pinto Lista de Precios 2024-07-01.pdf
PIN-008-PIN,Pinto - Caballetes Pinto,Pinto,Caballetes & Muebles,Caballetes de Madera,69.0,0.4,96.6,0,Caballetes Pinto Lista de Precios 2024-05-29.pdf
PIN-009-PIN,Pinto - CartÃ³n con Tela,Pinto,Papelería de Especialidad,Línea General,74.5,0.4,104.3,0,CartÃ³n con Tela Lista de Precios 2024-06-14.pdf
PIN-010-PIN,Pinto - Cartulina Ilustración y Cartón gris,Pinto,Cartones & Cartulinas,Cartones Especiales,80.0,0.4,112.0,0,Cartulina Ilustración y Cartón gris Lista de Precios 2024-01-01.pdf
PIN-011-PIN,Pinto - Cartón Batería,Pinto,Cartones & Cartulinas,Cartones Especiales,85.5,0.4,119.7,0,Cartón Batería Lista de Precios 2024-01-01.pdf
PIN-012-CHA,Chartpak - Chartpak,Chartpak,Diseño & Arquitectura,Rotuladores Chartpak,91.0,0.4,127.4,0,Chartpak lista de precios 2024-01-01(1).pdf
PIN-013-CHA,Chartpak - Chartpak,Chartpak,Diseño & Arquitectura,Rotuladores Chartpak,90.0,0.4,126.0,0,Chartpak lista de precios 2025-01-04.pdf
PIN-014-DEC,DecoArt - DecoArt,DecoArt,Pintura Decorativa,Acrílicos Artesanales DecoArt,102.0,0.4,142.8,0,DecoArt lista de precios 2024-01-01 precios de remate.pdf
PIN-015-PIN,Pinto - ESPATULAS Y ESTIQUES PINTO,Pinto,Herramientas & Estiques,Espátulas de Pintura,107.5,0.4,150.5,0,ESPATULAS Y ESTIQUES PINTO lista de precios 2024-07-01.pdf
PIN-016-PIN,Pinto - Excel,Pinto,Papelería de Especialidad,Línea General,113.0,0.4,158.2,0,Excel lista de precios 2024-01-01-1.pdf
PIN-017-FAB,Fabriano - Fabriano,Fabriano,Papeles de Arte,Papeles Italianos Fabriano,118.5,0.4,165.9,0,Fabriano lista de precios 2024-08-19.pdf
PIN-018-FAV,Favini - FAVINI,Favini,Papeles Finos,Especialidades Favini,124.0,0.4,173.6,0,FAVINI Lista de Precios 2024-01-01.pdf
